# taxa  Frequency(n)   propn
   0           0       0.0000
   1        2192       0.9816
   2          41       0.0184
   3           0       0.0000
   4           0       0.0000
   5           0       0.0000
   6           0       0.0000
   7           0       0.0000
   8           0       0.0000
   9           0       0.0000
  10           0       0.0000
  11           0       0.0000
  12           0       0.0000
  13           0       0.0000
  14           0       0.0000
  15           0       0.0000
  16           0       0.0000
  17           0       0.0000
  18           0       0.0000
  19           0       0.0000
  20           0       0.0000

# Microbiome strings for all 2233 hosts 
#    1   00000000010000000000   1   
#    2   00000000010000000000   1   
#    3   00000000010000000000   1   
#    4   00000000010000000000   1   
#    5   00000000010000000000   1   
#    6   00000000010000000000   1   
#    7   00000000010000000000   1   
#    8   00000000010000000000   1   
#    9   00000000010000000000   1   
#   10   00000000010000000000   1   
#   11   00000000010000000000   1   
#   12   00000000010000000000   1   
#   13   00000000010000000000   1   
#   14   00000000010000000000   1   
#   15   00000000010000000000   1   
#   16   00000000010000000000   1   
#   17   00000000010000000000   1   
#   18   00000000010000000000   1   
#   19   00000000010000000000   1   
#   20   00000000010000000000   1   
#   21   00000000010000000000   1   
#   22   00000000010000000000   1   
#   23   00000000010000000000   1   
#   24   00000000010000000000   1   
#   25   00000000010000000000   1   
#   26   00000000010000000000   1   
#   27   00000000010000000000   1   
#   28   00000000010000000000   1   
#   29   00000000010000000000   1   
#   30   00000000010000000000   1   
#   31   00000000010000000000   1   
#   32   00000000010000000000   1   
#   33   00000000010000000000   1   
#   34   00000000010000000000   1   
#   35   00000000010000000000   1   
#   36   00000000010000000000   1   
#   37   00000000010000000000   1   
#   38   00000000010000000000   1   
#   39   00000000010000000000   1   
#   40   00000000010000000000   1   
#   41   00000000010000000000   1   
#   42   00000000010000000000   1   
#   43   00000000010000000000   1   
#   44   00000000010000000000   1   
#   45   00000000010000000000   1   
#   46   00000000010000000000   1   
#   47   00000000010000000000   1   
#   48   00000000010000000000   1   
#   49   00000000010000000000   1   
#   50   00000000010000000000   1   
#   51   00000000010000000000   1   
#   52   00000000010000000000   1   
#   53   00000000010000000000   1   
#   54   00000000010000000000   1   
#   55   00000000010000000000   1   
#   56   00000000010000000000   1   
#   57   00000000010000000000   1   
#   58   00000000010000000000   1   
#   59   00000000010000000000   1   
#   60   00000000010000000000   1   
#   61   00000000010000000000   1   
#   62   00000000010000000000   1   
#   63   00000000010000000000   1   
#   64   00000000010000000000   1   
#   65   00000000010000000000   1   
#   66   00000000010000000000   1   
#   67   00000000010000000000   1   
#   68   00000000010000000000   1   
#   69   00000000010000000000   1   
#   70   00000000010000000000   1   
#   71   00000000010000000000   1   
#   72   00000000010000000000   1   
#   73   00000000010000000000   1   
#   74   00000000010000000000   1   
#   75   00000000010000000000   1   
#   76   00000000010000000000   1   
#   77   00000000010000000000   1   
#   78   00000000010000000000   1   
#   79   00000000010000000000   1   
#   80   00000000010000000000   1   
#   81   00000000010000000000   1   
#   82   00000000010000000000   1   
#   83   10000000010000000000   2   
#   84   10000000010000000000   2   
#   85   10000000010000000000   2   
#   86   00000000010000000000   1   
#   87   00000000010000000000   1   
#   88   00000000010000000000   1   
#   89   00000000010000000000   1   
#   90   00000000010000000000   1   
#   91   00000000010000000000   1   
#   92   00000000010000000000   1   
#   93   00000000010000000000   1   
#   94   00000000010000000000   1   
#   95   00000000010000000000   1   
#   96   00000000010000000000   1   
#   97   00000000010000000000   1   
#   98   00000000010000000000   1   
#   99   00000000010000000000   1   
#  100   00000000010000000000   1   
#  101   00000000010000000000   1   
#  102   00000000010000000000   1   
#  103   00000000010000000000   1   
#  104   00000000010000000000   1   
#  105   00000000010000000000   1   
#  106   00000000010000000000   1   
#  107   00000000010000000000   1   
#  108   00000000010000000000   1   
#  109   00000000010000000000   1   
#  110   00000000010000000000   1   
#  111   00000000010000000000   1   
#  112   00000000010000000000   1   
#  113   00000000010000000000   1   
#  114   00000000010000000000   1   
#  115   00000000010000000000   1   
#  116   00000000010000000000   1   
#  117   00000000010000000000   1   
#  118   00000000010000000000   1   
#  119   00000000010000000000   1   
#  120   00000000010000000000   1   
#  121   00000000010000000000   1   
#  122   00000000010000000000   1   
#  123   00000000010000000000   1   
#  124   00000000010000000000   1   
#  125   00000000010000000000   1   
#  126   00000000010000000000   1   
#  127   00000000010000000000   1   
#  128   00000000010000000000   1   
#  129   00000000010000000000   1   
#  130   00000000010000000000   1   
#  131   00000000010000000000   1   
#  132   00000000010000000000   1   
#  133   00000000010000000000   1   
#  134   00000000010000000000   1   
#  135   00000000010000000000   1   
#  136   00000000010000000000   1   
#  137   00000000010000000000   1   
#  138   00000000010000000000   1   
#  139   00000000010000000000   1   
#  140   00000000010000000000   1   
#  141   00000000010000000000   1   
#  142   00000000010000000000   1   
#  143   00000000010000000000   1   
#  144   00000000010000000000   1   
#  145   00000000010000000000   1   
#  146   00000000010000000000   1   
#  147   00000000010000000000   1   
#  148   00000000010000000000   1   
#  149   00000000010000000000   1   
#  150   00000000010000000000   1   
#  151   00000000010000000000   1   
#  152   00000000010000000000   1   
#  153   00000000010000000000   1   
#  154   00000000010000000000   1   
#  155   00000000010000000000   1   
#  156   00000000010000000000   1   
#  157   00000000010000000000   1   
#  158   00000000010000000000   1   
#  159   00000000010000000000   1   
#  160   00000000010000000000   1   
#  161   00000000010000000000   1   
#  162   00000000010000000000   1   
#  163   00000000010000000000   1   
#  164   00000000010000000000   1   
#  165   00000000010000000000   1   
#  166   00000000010000000000   1   
#  167   00000000010000000000   1   
#  168   00000000010000000000   1   
#  169   00000000010000000000   1   
#  170   00000000010000000000   1   
#  171   00000000010000000000   1   
#  172   00000000010000000000   1   
#  173   00000000010000000000   1   
#  174   00000000010000000000   1   
#  175   00000000010000000000   1   
#  176   00000000010000000000   1   
#  177   00000000010000000000   1   
#  178   00000000010000000000   1   
#  179   00000000010000000000   1   
#  180   00000000010000000000   1   
#  181   00000000010000000000   1   
#  182   00000000010000000000   1   
#  183   00000000010000000000   1   
#  184   00000000010000000000   1   
#  185   00000000010000000000   1   
#  186   00000000010000000000   1   
#  187   00000000010000000000   1   
#  188   00000000010000000000   1   
#  189   00000000010000000000   1   
#  190   00000000010000000000   1   
#  191   00000000010000000000   1   
#  192   00000000010000000000   1   
#  193   00000000010000000000   1   
#  194   00000000010000000000   1   
#  195   00000000010000000000   1   
#  196   00000000010000000000   1   
#  197   00000000010000000000   1   
#  198   00000000010000000000   1   
#  199   00000000010000000000   1   
#  200   00000000010000000000   1   
#  201   00000000010000000000   1   
#  202   00000000010000000000   1   
#  203   00000000010000000000   1   
#  204   00000000010000000000   1   
#  205   00000000010000000000   1   
#  206   00000000010000000000   1   
#  207   00000000010000000000   1   
#  208   00000000010000000000   1   
#  209   00000000010000000000   1   
#  210   00000000010000000000   1   
#  211   00000000010000000000   1   
#  212   00000000010000000000   1   
#  213   00000000010000000000   1   
#  214   00000000010000000000   1   
#  215   00000000010000000000   1   
#  216   00000000010000000000   1   
#  217   00000000010000000000   1   
#  218   00000000010000000000   1   
#  219   00000000010000000000   1   
#  220   00000000010000000000   1   
#  221   00000000010000000000   1   
#  222   00000000010000000000   1   
#  223   00000000010000000000   1   
#  224   00000000010000000000   1   
#  225   00000000010000000000   1   
#  226   00000000010000000000   1   
#  227   00000000010000000000   1   
#  228   00000000010000000000   1   
#  229   00000000010000000000   1   
#  230   00000000010000000000   1   
#  231   00000000010000000000   1   
#  232   00000000010000000000   1   
#  233   00000000010000000000   1   
#  234   00000000010000000000   1   
#  235   00000000010000000000   1   
#  236   00000000010000000000   1   
#  237   00000000010000000000   1   
#  238   00000000010000000000   1   
#  239   00000000010000000000   1   
#  240   00000000010000000000   1   
#  241   00000000010000000000   1   
#  242   00000000010000000000   1   
#  243   00000000010000000000   1   
#  244   00000000010000000000   1   
#  245   00000000010000000000   1   
#  246   00000000010000000000   1   
#  247   00000000010000000000   1   
#  248   00000000010000000000   1   
#  249   00000000010000000000   1   
#  250   00000000010000000000   1   
#  251   00000000010000000000   1   
#  252   00000000010000000000   1   
#  253   00000000010000000000   1   
#  254   00000000010000000000   1   
#  255   00000000010000000000   1   
#  256   00000000010000000000   1   
#  257   00000000010000000000   1   
#  258   00000000010000000000   1   
#  259   00000000010000000000   1   
#  260   00000000010000000000   1   
#  261   00000000010000000000   1   
#  262   00000000010000000000   1   
#  263   00000000010000000000   1   
#  264   00000000010000000000   1   
#  265   00000000010000000000   1   
#  266   00000000010000000000   1   
#  267   00000000010000000000   1   
#  268   00000000010000000000   1   
#  269   00000000010000000000   1   
#  270   00000000010000000000   1   
#  271   00000000010000000000   1   
#  272   00000000010000000000   1   
#  273   00000000010000000000   1   
#  274   00000000010000000000   1   
#  275   00000000010000000000   1   
#  276   00000000010000000000   1   
#  277   00000000010000000000   1   
#  278   00000000010000000000   1   
#  279   00000000010000000000   1   
#  280   00000000010000000000   1   
#  281   00000000010000000000   1   
