# taxa  Frequency(n)   propn
#  611   00000000010000000000   1   
#  612   00000000010000000000   1   
#  613   00000000010000000000   1   
#  614   00000000010000000000   1   
#  615   00000000010000000000   1   
#  616   00000000010000000000   1   
#  617   00000000010000000000   1   
#  618   00000000010000000000   1   
#  619   00000000010000000000   1   
#  620   00000000010000000000   1   
#  621   00000000010000000000   1   
#  622   00000000010000000000   1   
#  623   00000000010000000000   1   
#  624   00000000010000000000   1   
#  625   00000000010000000000   1   
#  626   00000000010000000000   1   
#  627   00000000010000000000   1   
#  628   00000000010000000000   1   
#  629   00000000010000000000   1   
#  630   00000000010000000000   1   
#  631   00000000010000000000   1   
#  632   00000000010000000000   1   
#  633   00000000010000000000   1   
#  634   00000000010000000000   1   
#  635   00000000010000000000   1   
#  636   00000000010000000000   1   
#  637   00000000010000000000   1   
#  638   00000000010000000000   1   
#  639   00000000010000000000   1   
#  640   00000000010000000000   1   
#  641   00000000010000000000   1   
#  642   00000000010000000000   1   
#  643   00000000010000000000   1   
#  644   00000000010000000000   1   
#  645   00000000010000000000   1   
#  646   00000000010000000000   1   
#  647   00000000010000000000   1   
#  648   00000000010000000000   1   
#  649   00000000010000000000   1   
#  650   00000000010000000000   1   
#  651   00000000010000000000   1   
#  652   00000000010000000000   1   
#  653   00000000010000000000   1   
#  654   00000000010000000000   1   
#  655   00000000010000000000   1   
#  656   00000000010000000000   1   
#  657   00000000010000000000   1   
#  658   00000000010000000000   1   
#  659   00000000010000000000   1   
#  660   00000000010000000000   1   
#  661   00000000010000000000   1   
#  662   00000000010000000000   1   
#  663   00000000010000000000   1   
#  664   00000000010000000000   1   
#  665   00000000010000000000   1   
#  666   00000000010000000000   1   
#  667   00000000010000000000   1   
#  668   00000000010000000000   1   
#  669   00000000010000000000   1   
#  670   00000000010000000000   1   
#  671   00000000010000000000   1   
#  672   00000000010000000000   1   
#  673   00000000010000000000   1   
#  674   00000000010000000000   1   
#  675   00000000010000000000   1   
#  676   00000000010000000000   1   
