# taxa  Frequency(n)   propn
   0           6       0.0052
   1          27       0.0235
   2          20       0.0174
   3          18       0.0157
   4          22       0.0192
   5          22       0.0192
   6          28       0.0244
   7          22       0.0192
   8          31       0.0270
   9          25       0.0218
  10          37       0.0323
  11          29       0.0253
  12          41       0.0357
  13          43       0.0375
  14          57       0.0497
  15          56       0.0488
  16          63       0.0549
  17          87       0.0759
  18          94       0.0820
  19         150       0.1308
  20         269       0.2345

# Microbiome strings for all 1147 hosts 
#    1   10011101110100110110  12   
#    2   00100000100100100011   6   
#    3   00100000100101100011   7   
#    4   11110000111100100011  11   
#    5   11111011111100101111  16   
#    6   11111111111111111111  20   
#    7   11111101111111111111  19   
#    8   11110111110111001110  15   
#    9   11111111111111111111  20   
#   10   11111111111111111111  20   
#   11   11110110111111101110  16   
#   12   11111111110111101111  18   
#   13   11111111111111111111  20   
#   14   11111111111111111111  20   
#   15   11111111111111111111  20   
#   16   11111111111111101111  19   
#   17   11111111111111111111  20   
#   18   11111111111111101111  19   
#   19   11111111111111101110  18   
#   20   11111111111111101110  18   
#   21   11111111111111101111  19   
#   22   11111111111111101111  19   
#   23   11111111111111101111  19   
#   24   10010101000110010000   7   
#   25   11011011000111001101  12   
#   26   11111011111111101111  18   
#   27   11011011000111001101  12   
#   28   11010111011101101111  15   
#   29   10010001011110010110  10   
#   30   10011001111110010110  12   
#   31   11111101111111010111  17   
#   32   11110111111111111111  19   
#   33   11111111111111111111  20   
#   34   11111111111111111111  20   
#   35   11011001111111010110  14   
#   36   11111111111111111111  20   
#   37   11111111111111110111  19   
#   38   11111111111111110111  19   
#   39   11111111111111111111  20   
#   40   11111111111111111111  20   
#   41   11111111111111111111  20   
#   42   11111111111111111111  20   
#   43   11111111111111111111  20   
#   44   11111111111111111111  20   
#   45   11111111111111111111  20   
#   46   11111111111111111111  20   
#   47   11111111111111111111  20   
#   48   11111111111111111111  20   
#   49   11111111111111111111  20   
#   50   11111111111111111111  20   
#   51   11111111111111111111  20   
#   52   11111111111111111111  20   
#   53   11111111111111111111  20   
#   54   11111111111111111111  20   
#   55   11111111111111111111  20   
#   56   10010000001100000010   5   
#   57   11111111111111111111  20   
#   58   10010000001111100000   7   
#   59   11111111111111111111  20   
#   60   11111111111111111111  20   
#   61   10010000101101000010   7   
#   62   11100011001111001111  13   
#   63   00101010000000000001   4   
#   64   01101010011000001001   8   
#   65   11101111011101101111  16   
#   66   10111111100111100111  15   
#   67   11101010000000000111   8   
#   68   11101010100010000111  10   
#   69   00101110010011010001   9   
#   70   00101110110011010101  11   
#   71   10111111111111110111  18   
#   72   00101111111011010101  13   
#   73   11111111011111111101  18   
#   74   11011101011101100010  12   
#   75   00100000000100000010   3   
#   76   11111110111111100111  17   
#   77   11111111111111111111  20   
#   78   11110111111111011111  18   
#   79   10100010111011001101  11   
#   80   11101110111111111111  18   
#   81   11111111111111101111  19   
#   82   11111111111111111111  20   
#   83   00000100000101000000   3   
#   84   11111011111110110111  17   
#   85   11111111111110111111  19   
#   86   11001010111110010111  13   
#   87   11011111111111011111  18   
#   88   11111010111110010111  15   
#   89   11111011111111010111  17   
#   90   11111111111111110111  19   
#   91   11111111111110110111  18   
#   92   11001111111110010111  15   
#   93   00010000000000000001   2   
#   94   01010101000000000011   6   
#   95   11011111111110110111  17   
#   96   11110000111111001011  13   
#   97   00010000000000000011   3   
#   98   11110111111111101111  18   
#   99   11110110001111001111  14   
#  100   11111111111111111111  20   
#  101   10111011111011100111  15   
#  102   00010000010000001001   4   
#  103   11111111111111111111  20   
#  104   11111101111111101111  18   
#  105   11011101111111011111  17   
#  106   11010111111111011011  16   
#  107   00000000100000000000   1   
#  108   01100000101100100011   8   
#  109   11110111111111011110  17   
#  110   00000000000000000010   1   
#  111   11011111110111110110  16   
#  112   10100001110101000100   8   
#  113   00000100000101000000   3   
#  114   01110111011101101111  15   
#  115   01111111111111101111  18   
#  116   11111111111111101111  19   
#  117   11111111111101111101  18   
#  118   11111111111101111111  19   
#  119   11111111111111111111  20   
#  120   11111111111111111111  20   
#  121   11111111111111011111  19   
#  122   11111111111111111111  20   
#  123   11111111111111111111  20   
#  124   11111110111111111111  19   
#  125   11111110111111111111  19   
#  126   11010101001110011111  13   
#  127   11111111111111111111  20   
#  128   11111111111111111111  20   
#  129   11111111111111111111  20   
#  130   11111111111111111111  20   
#  131   11011111111110111111  18   
#  132   11010111111110111111  17   
#  133   00010001011000000100   5   
#  134   11111001111111001111  16   
#  135   10010101111110100110  12   
#  136   00000000101000000010   3   
#  137   00011111111001001011  12   
#  138   10111111111111100111  17   
#  139   00010000000000000010   2   
#  140   10010111011010010010  10   
#  141   11010101010111010110  12   
#  142   11110101110101101110  14   
#  143   11111111111111101111  19   
#  144   11111101111101111111  18   
#  145   11110111001111001111  15   
#  146   11110111011111011111  17   
#  147   11110111111111111111  19   
#  148   10000111111101001111  13   
#  149   00011111110101000101  11   
#  150   10111111111101001111  16   
#  151   11111111110111001111  17   
#  152   00000001000000000000   1   
#  153   11110011111111011111  17   
#  154   11010111010111010111  14   
#  155   11111111111111111111  20   
#  156   11111111111111111111  20   
#  157   11111111111111111111  20   
#  158   11010101000000101100   8   
#  159   11111111111111111111  20   
#  160   00000000001000000010   2   
#  161   00110011000011100001   8   
#  162   11010000000000001000   4   
#  163   00000000000000000010   1   
#  164   01110010001000001001   7   
#  165   11110111111111011111  18   
#  166   01100010011000001001   7   
#  167   11100000100011001110   9   
#  168   00000000000000000000   0   
#  169   00000001010000000100   3   
#  170   11010011011111101111  15   
#  171   01110111111111101110  16   
#  172   11100110001111001111  13   
#  173   11100110001111001111  13   
#  174   11101111011111011111  17   
#  175   00000100000000000000   1   
#  176   01000100011001000010   6   
#  177   11010011111011111110  15   
#  178   11110111111111111110  18   
#  179   11010100101101000010   9   
#  180   11111111111111111111  20   
#  181   11011101101101010110  13   
#  182   10000000000000000000   1   
#  183   10000100011110000011   8   
#  184   10111011111111110111  17   
#  185   11111111111111111111  20   
#  186   11101111101111111001  16   
#  187   11111101111111111111  19   
#  188   10000000000000000000   1   
#  189   00000010001000001011   5   
#  190   10000000000000000000   1   
#  191   10111011111111111111  18   
#  192   11111111111101111110  18   
#  193   10000000000001000001   3   
#  194   11010000000001001001   6   
#  195   11110101111111111111  18   
#  196   00000000100001100000   3   
#  197   11111111111111101111  19   
#  198   00000000100001100100   4   
#  199   11111111111111111111  20   
#  200   11111111111111111111  20   
#  201   11111111111111111111  20   
#  202   11111111111111111111  20   
#  203   00000000001000000001   2   
#  204   11010001111100001101  11   
#  205   11010001111110011111  14   
#  206   11010111111111111111  18   
#  207   11010101111110101111  15   
#  208   00001000001000000101   4   
#  209   10111100111111111101  16   
#  210   00001100001010000101   6   
#  211   01111101111101010111  15   
#  212   11111111111111111111  20   
#  213   11111111111111111110  19   
#  214   11111111111111111111  20   
#  215   11111111111101111110  18   
#  216   11010111111101001111  15   
#  217   10000000000000000100   2   
#  218   10111100111111001111  15   
#  219   00011111010011001001  10   
#  220   11111111111111111111  20   
#  221   10000110000111101101  10   
#  222   11100111110111101111  16   
#  223   11111111111111111111  20   
#  224   00000000011000000000   2   
#  225   11111111111111111111  20   
#  226   10000000011001100000   5   
#  227   11100100011001100001   9   
#  228   10111111111111111011  18   
#  229   10111111111111111111  19   
#  230   00001000100010000000   3   
#  231   11111101110111111110  17   
#  232   11111110101011000111  14   
#  233   10001000100010000110   6   
#  234   10001011110011100100  10   
#  235   10101011111110101101  14   
#  236   11101001111010101110  13   
#  237   10101111111010111101  15   
#  238   11111111111111111111  20   
#  239   11111111111111111111  20   
#  240   11111111111111111111  20   
#  241   11111111111111111111  20   
#  242   10111111111111111111  19   
#  243   10101111111010111101  15   
#  244   11111111111111111111  20   
#  245   11101111111111111111  19   
#  246   11111111111111111111  20   
#  247   10101101111111111110  16   
#  248   11111111111111111111  20   
#  249   10101111111111111110  17   
#  250   10111111111111111110  18   
#  251   10111111111111111111  19   
#  252   11111111111111111111  20   
#  253   11011111111110111111  18   
#  254   00101010100000000100   5   
#  255   00010001000000000010   3   
#  256   00001101000000000010   4   
#  257   00001111101001001010   9   
#  258   01010011001011100010   9   
#  259   00110010011001100111  10   
#  260   00110110011101100111  12   
#  261   11110111111111111111  19   
#  262   10110110011011100111  13   
#  263   11011111111001111110  16   
#  264   11111111111111111111  20   
#  265   11011111111111111111  19   
#  266   11111111111111111111  20   
#  267   11011111111111111111  19   
#  268   10010010001000100010   6   
#  269   11111111111111111111  20   
#  270   11010111111101100110  14   
#  271   11111111111111111111  20   
#  272   11011111111111111110  18   
#  273   11111111111111111111  20   
#  274   11011111111111111110  18   
#  275   11111110111110100111  16   
#  276   11111111111111111111  20   
#  277   11100100000010000101   7   
#  278   11111111111111111111  20   
#  279   11111111111111111111  20   
#  280   10111111101100101111  15   
#  281   11010011111011011110  14   
#  282   10000011111110011010  11   
#  283   10011101101100011011  12   
#  284   10111011101100001111  13   
#  285   10010000101101001110   9   
#  286   10000000110100001000   5   
#  287   11010101111111110010  14   
#  288   00000100011110000111   8   
#  289   01100100011110000111  10   
#  290   10011101010110111001  12   
#  291   10111111110111111101  17   
#  292   10111111110111111101  17   
#  293   11111111111111111111  20   
#  294   11111111111111111111  20   
#  295   11111111111111111111  20   
#  296   11111111111111111111  20   
#  297   11111111111111111111  20   
#  298   11111111111111111111  20   
#  299   00000000000010000010   2   
#  300   01000001000000011000   4   
#  301   00000000001000000000   1   
#  302   11110111111111011111  18   
#  303   11111111111111101111  19   
#  304   10001110101101001110  11   
#  305   11111110111110100111  16   
#  306   11111111111110100111  17   
#  307   11111111111111101111  19   
#  308   00000100001110000011   6   
#  309   11110111111111111111  19   
#  310   11010111111111111111  18   
#  311   11111111111111111111  20   
#  312   11101111001110001111  14   
#  313   11111111011110001111  16   
#  314   11111111001111101111  17   
#  315   11111111111111001111  18   
#  316   11111111111111111111  20   
#  317   11111111111111111111  20   
#  318   11111111111111111111  20   
#  319   11111111111111001111  18   
#  320   11010110111111011011  15   
#  321   11000100001110000011   8   
#  322   11001100111110000011  11   
#  323   00000000000000000000   0   
#  324   11110111111111101111  18   
#  325   10111111111111010111  17   
#  326   11010000011101010010   9   
#  327   00000000001000000000   1   
#  328   11100110001011111111  14   
#  329   11111111111111111111  20   
#  330   11110111111111110111  18   
#  331   11111111111111111111  20   
#  332   11110111111111110111  18   
#  333   11111111111111110111  19   
#  334   11111111111111111111  20   
#  335   11010111011101101111  15   
#  336   01000101111101000110  10   
#  337   11111111111111111111  20   
#  338   11111111111111111111  20   
#  339   10110011001011101011  12   
#  340   10110111111111111111  18   
#  341   11111111111111111111  20   
#  342   11111111111111111111  20   
#  343   11011111011111010111  16   
#  344   00001011110000000001   6   
#  345   01100100001000100001   6   
#  346   11011111111111110111  18   
#  347   11111111111111110111  19   
#  348   11111111111111110111  19   
#  349   11111111111111111111  20   
#  350   11111111111111111111  20   
#  351   11111111111111111111  20   
#  352   11111111111111111111  20   
#  353   11111111111111111111  20   
#  354   11101011111000011111  14   
#  355   11001100000000000110   6   
#  356   11101111111101000110  14   
#  357   11111111111101101111  18   
#  358   11101111000000001111  11   
#  359   11001000100000000110   6   
#  360   11111111111111111111  20   
#  361   11111111111111011111  19   
#  362   11111111111111011111  19   
#  363   11111111111111111111  20   
#  364   10000101001010010000   6   
#  365   11010000011100000000   6   
#  366   10000000000000000100   2   
#  367   01010001101100000010   7   
#  368   11110111111111101111  18   
#  369   11011111111111111111  19   
#  370   10110100011111101100  12   
#  371   10011111111111100110  15   
#  372   11111111111111111110  19   
#  373   11111111111111111111  20   
#  374   00001110001100000100   6   
#  375   11111111011111111111  19   
#  376   11111111111111101110  18   
#  377   11111111111111111111  20   
#  378   00111111001110010110  12   
#  379   10111111011111110111  17   
#  380   10111111111111011111  18   
#  381   00111111001110010110  12   
#  382   10101111110001101100  12   
#  383   00011111111101110110  14   
#  384   10011111110101110110  14   
#  385   11111110111100100110  14   
#  386   10010110111100100110  11   
#  387   10000000000000000100   2   
#  388   11110101111101111110  16   
#  389   11111111111111111111  20   
#  390   11110101111101111110  16   
#  391   10101010111000011111  12   
#  392   10110111111011011111  16   
#  393   11110111100111100101  14   
#  394   11000101000111010110  10   
#  395   01010101111111011111  15   
#  396   11111111111111111111  20   
#  397   11111111111111111111  20   
#  398   01110111111101111101  16   
#  399   11110101111111110100  15   
#  400   10000001000010000000   3   
#  401   10000001011110000010   7   
#  402   11011110111110111111  17   
#  403   10011111111101001110  14   
#  404   10111111111111011111  18   
#  405   10111111111111111111  19   
#  406   10011111111101111110  16   
#  407   10111111111101101111  17   
#  408   10011111111101001111  15   
#  409   10111111111101001111  16   
#  410   11011111111101001110  15   
#  411   01111111101111111011  17   
#  412   10010111110110111110  14   
#  413   10010111111111111111  17   
#  414   11110111111111111111  19   
#  415   10011111111111111111  18   
#  416   11011111111111111111  19   
#  417   10011111111111111111  18   
#  418   11111111111111111111  20   
#  419   11111111111111111111  20   
#  420   11111111111111111111  20   
#  421   00010101100100110010   8   
#  422   01011111111110110111  16   
#  423   11111111111110110111  18   
#  424   11001000000000000110   5   
#  425   11110111111111101111  18   
#  426   11100011101111110011  14   
#  427   11111111111111111111  20   
#  428   11100111101111110011  15   
#  429   11111110111111100111  17   
#  430   11111110111111100111  17   
#  431   11111110111111101111  18   
#  432   11111111111111101111  19   
#  433   11011011101100101001  12   
#  434   11011111111101101011  16   
#  435   11011011101110101011  14   
#  436   11111111111111111111  20   
#  437   11111111111111111111  20   
#  438   11011011101111101011  15   
#  439   11111011111111101111  18   
#  440   11111011101111101111  17   
#  441   11111111111111101111  19   
#  442   11011111111111111111  19   
#  443   11111111101111101101  17   
#  444   10000111011010010010   9   
#  445   00000000010000000000   1   
#  446   00000101000001000000   3   
#  447   00010111111111101111  15   
#  448   11110111111111111111  19   
#  449   11010101011101010010  11   
#  450   11111111111101011111  18   
#  451   11010111111111111111  18   
#  452   11111111111111111111  20   
#  453   11010111111111011011  16   
#  454   11111111111111011111  19   
#  455   11111111111111101111  19   
#  456   11111111111111101111  19   
#  457   11111111111111111111  20   
#  458   11111111111111111111  20   
#  459   00010110111111101111  14   
#  460   11011111111111110110  17   
#  461   11110111001111101110  15   
#  462   10110110001111100101  12   
#  463   11111111111111101111  19   
#  464   10111110101111100111  15   
#  465   11111111111111101111  19   
#  466   11111110111111100111  17   
#  467   00000000000010010000   2   
#  468   11111111111111111111  20   
#  469   11011111111111111111  19   
#  470   11111111110110111111  18   
#  471   11111111110111111111  19   
#  472   11111111111111111111  20   
#  473   10010011111111010110  13   
#  474   10111011111111110111  17   
#  475   11010001011101010010  10   
#  476   11111111111111111111  20   
#  477   11111111111111111111  20   
#  478   11111111111111011111  19   
#  479   11111111111111111111  20   
#  480   10010100011011110011  11   
#  481   11001010110110011110  12   
#  482   11110101111111110111  17   
#  483   01011111111111110111  17   
#  484   11110111111111111111  19   
#  485   11011111111111101110  17   
#  486   11111111111111101111  19   
#  487   11111111111111111111  20   
#  488   11111111111111111111  20   
#  489   11111111111111111111  20   
#  490   11111111111111111111  20   
#  491   11111111111111111111  20   
#  492   11111111111111111111  20   
#  493   11111111111111111111  20   
#  494   11111111101111101111  18   
#  495   11111111111111111111  20   
#  496   11111111111111111111  20   
#  497   10111011111111111111  18   
#  498   00001001010010010110   7   
#  499   00010111111111111111  16   
#  500   11111111111111111111  20   
#  501   10100111001111011111  14   
#  502   11111111111111011111  19   
#  503   11111111111111111111  20   
#  504   11111111111111111111  20   
#  505   01110001001011010010   9   
#  506   11110101111111111111  18   
#  507   11111001111011010010  13   
#  508   11111111111111111111  20   
#  509   11101011111001011111  15   
#  510   11111111111111010111  18   
#  511   11111111111111010111  18   
#  512   11001001000101000010   7   
#  513   11111111111111111111  20   
#  514   11101101111111100111  16   
#  515   11001101110111000010  11   
#  516   11111111111111011111  19   
#  517   00000000010000000010   2   
#  518   01111111111111111111  19   
#  519   11111111111111111111  20   
#  520   11101111111011100111  16   
#  521   11111111111111111111  20   
#  522   00000000110000001010   4   
#  523   11111110111111011111  18   
#  524   11111111111110010110  16   
#  525   11111111111111111111  20   
#  526   11111111111111111111  20   
#  527   11111111111111111111  20   
#  528   11111111111110011111  18   
#  529   11111111111111111111  20   
#  530   11111111111111011111  19   
#  531   11111111111111011111  19   
#  532   00000000010000000000   1   
#  533   11111111111111011111  19   
#  534   00100011110010000000   6   
#  535   11111111111111111111  20   
#  536   11111111111111111111  20   
#  537   11111111111111111111  20   
#  538   11111111111111111111  20   
#  539   11100100011000100001   8   
#  540   11111101111111110111  18   
#  541   11000000010000100000   4   
#  542   11010100011011100001  10   
#  543   11000010010000100010   6   
#  544   11100110011001110011  12   
#  545   11111111111111111111  20   
#  546   11110101111111101111  17   
#  547   11111111111111101111  19   
#  548   11100101111110110111  15   
#  549   11100101111110100111  14   
#  550   11100101111110100111  14   
#  551   11101101111110100111  15   
#  552   11111111111111111111  20   
#  553   11111111111111111111  20   
#  554   11111101111110100111  16   
#  555   11101101111111101111  17   
#  556   11111111111111111111  20   
#  557   11111111111111111111  20   
#  558   11111111111111111111  20   
#  559   11111101111111110111  18   
#  560   11110111111111101111  18   
#  561   01001100011101100110  10   
#  562   11011100111101100110  13   
#  563   11011100111101100110  13   
#  564   11111111111111111111  20   
#  565   11111111111111110111  19   
#  566   10110111111010110111  15   
#  567   11110111111111111111  19   
#  568   11000101010111010110  11   
#  569   11110111111111111110  18   
#  570   11111111111111111111  20   
#  571   11111111101111111111  19   
#  572   11111111111111111111  20   
#  573   11110101001111111101  15   
#  574   00010101100110100010   8   
#  575   10110110101010001111  12   
#  576   11111111111111111111  20   
#  577   11111111111111111111  20   
#  578   10110111101111111111  17   
#  579   10110111101111111111  17   
