# taxa  Frequency(n)   propn
#  580   11110110111111011111  17   
#  581   11111111111111111111  20   
#  582   11111111111111111111  20   
#  583   11111110111110100111  16   
#  584   10101110101110000111  12   
#  585   11111110101111000111  15   
#  586   11111110111111011111  18   
#  587   11111111111111101111  19   
#  588   11111111111111111111  20   
#  589   01110000101100100011   9   
#  590   00010000000000000000   1   
#  591   00011111111101110101  14   
#  592   11011101111100110110  14   
#  593   11011111111100111111  17   
#  594   11111111111110111111  19   
#  595   11011111111101111111  18   
#  596   00010000000000000000   1   
#  597   11010000100101000010   7   
#  598   11011111111111111111  19   
#  599   11111111001111101111  17   
#  600   10010000001001000100   5   
#  601   11111111111111111111  20   
#  602   11010101011101000110  11   
#  603   11111111111111111111  20   
#  604   00010001000000000010   3   
#  605   10000101001001100001   7   
#  606   10010101011001100101  10   
#  607   10011111111101110101  15   
#  608   10010100001011100001   8   
#  609   10010100001011100001   8   
#  610   10000000000001000100   3   
#  611   11111101111111111111  19   
#  612   11110111111111111111  19   
#  613   11111111111111111111  20   
#  614   11110111111111111111  19   
#  615   00010100000101100000   5   
#  616   01010101010101100010   9   
#  617   00000100000000000000   1   
#  618   00100110000100000001   5   
#  619   10110110001111000111  12   
#  620   10110111111111110111  17   
#  621   10100110000111011001  10   
#  622   11111111111111111111  20   
#  623   11111110111111011111  18   
#  624   11111111111111111111  20   
#  625   11111111111111111111  20   
#  626   10100000001111101101  10   
#  627   00011101111100010011  11   
#  628   11111111111110010111  17   
#  629   11111111111110010111  17   
#  630   11111111111111111111  20   
#  631   00000000101110010010   6   
#  632   11110111111111111111  19   
#  633   00000000000000000000   0   
#  634   11101111110011000111  14   
#  635   00000000000000000010   1   
#  636   11111111111111010111  18   
#  637   00000000100000000010   2   
#  638   00000000001000000000   1   
#  639   11111111111111111111  20   
#  640   11010000011101010010   9   
#  641   00000000000000000000   0   
#  642   11110111111111111111  19   
#  643   00001011101101001001   9   
#  644   11111111111111011111  19   
#  645   11111111111111011111  19   
#  646   11111111111111111111  20   
#  647   11111111111111111111  20   
#  648   11111111111111111111  20   
#  649   11111111111111111101  19   
#  650   11111111111111111111  20   
#  651   11111111111111111111  20   
#  652   11111111111111111111  20   
#  653   11111111111111111111  20   
#  654   11111111111111111111  20   
#  655   10111110101111101111  16   
#  656   11111111111111111111  20   
#  657   11010011011110010110  12   
#  658   11010011111110011110  14   
#  659   11010011011110010110  12   
#  660   10100001110101000100   8   
#  661   11111001110111001111  15   
#  662   11111111111111111111  20   
#  663   11111111111111111111  20   
#  664   11111001111111001111  16   
#  665   11111111111111111111  20   
#  666   11111111111111111111  20   
#  667   11111111111111111111  20   
#  668   00000001100000000000   2   
#  669   10100111101111001111  14   
#  670   11010001100000001000   6   
#  671   11011111111110110111  17   
#  672   11100001110000000100   7   
#  673   10011111111010010011  13   
#  674   10111111111011111011  17   
#  675   10111111111111111111  19   
#  676   10110100111111111101  15   
#  677   11101010001001010011  10   
#  678   11111011101001010011  13   
#  679   00001000001010000110   5   
#  680   11111111111111111111  20   
#  681   11001010011010000110   9   
#  682   11111111111011111111  19   
#  683   11111011111110000111  15   
#  684   11101011111010000110  12   
#  685   11011010011010000110  10   
#  686   11111111111111111111  20   
#  687   11111010111111100111  16   
#  688   11111011111111011111  18   
#  689   11111011111111111111  19   
#  690   11111011111111111111  19   
#  691   11111111111111111111  20   
#  692   11111111111111111111  20   
#  693   11111011111111011111  18   
#  694   11111111111111111111  20   
#  695   11101010111110100111  14   
#  696   01111101101110000111  13   
#  697   01111101111110010111  15   
#  698   11111111111110010111  17   
#  699   01001100101111111111  14   
#  700   00000000000000000000   0   
#  701   00000000100001100000   3   
#  702   10111011111111110111  17   
#  703   00011101111101110011  13   
#  704   11111111111111110111  19   
#  705   00011101111101110011  13   
#  706   11111111111111111111  20   
#  707   11110101111101110100  14   
#  708   11111000100011100001  10   
#  709   11111111111111111111  20   
#  710   10110110111111101111  16   
#  711   10111111111111101111  18   
#  712   11111111111111111111  20   
#  713   10111111111111111111  19   
#  714   00000101000011000000   4   
#  715   11111111111111011110  18   
#  716   11111111111111111111  20   
#  717   00110101101111100011  12   
#  718   00111101111111100011  14   
#  719   00000100000001000001   3   
#  720   01000101010101000101   8   
#  721   11010111111111011111  17   
#  722   11111111111111011111  19   
#  723   11111111111111111111  20   
#  724   01000101010101000101   8   
#  725   11010101011111010111  14   
#  726   11110101110111000101  13   
#  727   11011111010111010111  15   
#  728   11100101110101000100  10   
#  729   11111111111111110111  19   
#  730   11101111111111111111  19   
#  731   11100111111101000110  13   
#  732   11110101111111000110  14   
#  733   11101101111111100111  16   
#  734   10100001100110001010   8   
#  735   01110011100110100001  10   
#  736   00010001000001000010   4   
#  737   00110001000011000010   6   
#  738   11110001011111000010  11   
#  739   11110111111111111111  19   
#  740   11111111111111111111  20   
#  741   10001000101111001110  10   
#  742   11111111111111111111  20   
#  743   10011101101111101110  14   
#  744   10001000101111001110  10   
#  745   10001001111111001110  12   
#  746   11111111111111111111  20   
#  747   11111111111111111111  20   
#  748   11111111111111111111  20   
#  749   10111111111111011111  18   
#  750   00000000000011000000   2   
#  751   11111111111111111111  20   
#  752   11110111111111111111  19   
#  753   11110111111111111111  19   
#  754   01010011001011100010   9   
#  755   10010101101111101110  13   
#  756   11111110111111101111  18   
#  757   00110000001011000010   6   
#  758   00000000001011100000   4   
#  759   10000001111101000110   9   
#  760   11011111111111111111  19   
#  761   00000010101000001000   4   
#  762   01111111111111111111  19   
#  763   10011110101111101110  14   
#  764   10010111101111011010  13   
#  765   00110001001010010010   7   
#  766   11110101001111010110  13   
#  767   00000000000001000000   1   
#  768   11110010110111001110  13   
#  769   11111111110111101111  18   
#  770   11111111111111111111  20   
#  771   11111111111111111111  20   
#  772   11110010111111101110  15   
#  773   01000100100111010010   8   
#  774   11011111110101110110  15   
#  775   11111111111111111111  20   
#  776   11011111110101110110  15   
#  777   11111111111111111111  20   
#  778   11010011011110010110  12   
#  779   01100000000000000001   3   
#  780   01000100000000000000   2   
#  781   01011101111100010011  12   
#  782   11011101000000010100   8   
#  783   00000001000000000001   2   
#  784   11011111111110110111  17   
#  785   00010101100110100011   9   
#  786   11110001100010000101   9   
#  787   00011110110000010100   8   
#  788   11111111111111111111  20   
#  789   11111111110111011111  18   
#  790   11111111111111111111  20   
#  791   11111111111111111111  20   
#  792   00011001100000000010   5   
#  793   10000000000010000110   4   
#  794   10010110111111101111  15   
#  795   10000000000011000110   5   
#  796   11101011111011011111  16   
#  797   11111011111111111111  19   
#  798   11111111111111111111  20   
#  799   00001000101110000011   7   
#  800   00000100101000010000   4   
#  801   00000100001000110100   5   
#  802   11100111011111110111  16   
#  803   10100001110101000100   8   
#  804   11111111111111111111  20   
#  805   11011110111111111110  17   
#  806   11011110111111111110  17   
#  807   11111111111111111111  20   
#  808   11010011001111101111  14   
#  809   00010110000000000111   6   
#  810   00000000001000000000   1   
#  811   11111111111011111111  19   
#  812   11100000011000000100   6   
#  813   11111111111111110111  19   
#  814   11010000011101010010   9   
#  815   11111110111111111111  19   
#  816   11011111111101010111  16   
#  817   00000100011110000111   8   
#  818   11111111111110110111  18   
#  819   11111111111111111111  20   
#  820   11110111111110110111  17   
#  821   11111111111110111111  19   
#  822   11011111111111111110  18   
#  823   11110101111111111111  18   
#  824   11110101111111110111  17   
#  825   11110101111111111111  18   
#  826   11000001001111010010   9   
#  827   01101001111111110111  15   
#  828   11111001111111110111  17   
#  829   10110011001011111011  13   
#  830   11110111111111111111  19   
#  831   00110001001010010010   7   
#  832   11111111111011111111  19   
#  833   10111111111111010111  17   
#  834   00000000000000000000   0   
#  835   11111101110111111110  17   
#  836   11010000000000001000   4   
#  837   00000000010000000000   1   
#  838   11110111111111111111  19   
#  839   10000000010000000000   2   
#  840   11111111111111111111  20   
#  841   11010111111110111111  17   
#  842   11010101111110110110  14   
#  843   11011101111111110111  17   
#  844   00011111011001001001  10   
#  845   00010011111010110111  12   
#  846   10110010011000000011   8   
#  847   11110011101111111001  15   
#  848   11110111101111111011  17   
#  849   10111011111111111111  18   
#  850   10101010111111011111  15   
#  851   00010000000000000000   1   
#  852   11101101111111100111  16   
#  853   11111101111111100111  17   
#  854   11111111111111100111  18   
#  855   11111111111111110111  19   
#  856   10000101110011000000   7   
#  857   10100010001011001111  10   
#  858   11111111111111111111  20   
#  859   10111111111111111111  19   
#  860   11101111110010011111  15   
#  861   11101111110111011111  17   
#  862   11111111110011011111  17   
#  863   11101111111011011111  17   
#  864   00000100010000000000   2   
#  865   00001001011100000000   5   
#  866   11010111011101101111  15   
#  867   10010001011110010110  10   
#  868   11010101011101100010  11   
#  869   01001100111111100110  12   
#  870   11001110111111100100  13   
#  871   00000100011110000011   7   
#  872   11011101111100110110  14   
#  873   10010001001011010010   8   
#  874   00010100111101011101  11   
#  875   11111111111110010101  16   
#  876   11110101110101101100  13   
#  877   11110111001011111011  15   
#  878   11111111111111011111  19   
#  879   11111111111111111111  20   
#  880   11110100010100000000   7   
#  881   00100101000100000010   5   
#  882   11111111110101110110  16   
#  883   00110101100100110010   9   
#  884   10110101100100110010  10   
#  885   10110101101111110011  14   
#  886   10111101110100110110  13   
#  887   10110101011111100011  13   
#  888   10100101000000000100   5   
#  889   11110111111111011111  18   
#  890   11101111101111111101  17   
#  891   11111111101111111111  19   
#  892   10100101000000001101   7   
#  893   11111111111111101111  19   
#  894   00000000010000000000   1   
#  895   10011101010110111001  12   
#  896   10000001010011001100   7   
#  897   00000000001011000000   3   
#  898   11110000101111100111  13   
#  899   10011001000011000111   9   
#  900   10111110000111101101  13   
#  901   11111111111111101111  19   
#  902   11111111111111101111  19   
#  903   11111111111111101111  19   
#  904   11111111101111111111  19   
#  905   11011000000011000101   8   
#  906   11110111111111101010  16   
#  907   11111111111111111111  20   
#  908   11011111111101010111  16   
#  909   11010010110111011110  13   
#  910   11010111111111011111  17   
#  911   11111011111111111111  19   
#  912   11111111111111111111  20   
#  913   11111111111111011111  19   
#  914   11010111111111011110  16   
#  915   11010111111111011110  16   
