# taxa  Frequency(n)   propn
#  197   00010000000000000000   1   
#  198   00010100000000000000   2   
#  199   00000000000000000010   1   
#  200   00000000000000100100   2   
#  201   00000000000000000000   0   
#  202   00000010000000000000   1   
#  203   01001100000000000000   3   
#  204   00010000000010000000   2   
#  205   00000000000000000000   0   
#  206   00000000000000010000   1   
#  207   00000000000100000001   2   
#  208   00100000000000000000   1   
#  209   00000000000010011000   3   
#  210   00000001010000000100   3   
#  211   00000100000000000000   1   
#  212   00000000000000000000   0   
#  213   10100000000000000000   2   
#  214   00000000000000000010   1   
#  215   01000100000000000000   2   
#  216   00000100000000000000   1   
#  217   00000000000000000000   0   
#  218   00000000000100000000   1   
#  219   00000000000001000000   1   
#  220   00000000000000000000   0   
#  221   11000000000000000000   2   
#  222   01000000010000000000   2   
#  223   10000000000000000000   1   
#  224   00000000000100000000   1   
#  225   00000000010000000000   1   
#  226   10000000000000000000   1   
#  227   00000000001000000000   1   
#  228   00000000000000000000   0   
#  229   00000000000000000000   0   
#  230   00001010000000000000   2   
#  231   10011000000000000001   4   
#  232   00000000000100000000   1   
#  233   00000000000010000000   1   
#  234   00010000000000000000   1   
#  235   00000000000000000000   0   
#  236   00000000000000000000   0   
#  237   00010001000000000000   2   
#  238   00000000000000000000   0   
#  239   00000000000000000100   1   
#  240   10000000000000000000   1   
#  241   00000000000000000000   0   
#  242   10000000000000000000   1   
#  243   00000000000001000000   1   
#  244   00000000000000100000   1   
#  245   00000000000000000000   0   
#  246   00000000001000000001   2   
#  247   00010000000000000000   1   
#  248   00000000000010000000   1   
#  249   00000000000000000000   0   
#  250   00000000000000001000   1   
#  251   00000000000000010010   2   
#  252   00000000000000000000   0   
#  253   00000000000000000000   0   
#  254   00000000000000000100   1   
#  255   00000000000000000000   0   
#  256   00000000000010000000   1   
#  257   00110000000000010000   3   
#  258   00000100001100000000   3   
#  259   00000000000000000000   0   
#  260   00000000000100100000   2   
#  261   00000000000001100001   3   
#  262   00000000000000000000   0   
#  263   00001000010000000000   2   
#  264   00000000000000000010   1   
#  265   00000000100000000000   1   
#  266   00000100000000000000   1   
#  267   00000000000000000000   0   
#  268   00000000010000100000   2   
#  269   00000000000000000000   0   
#  270   00000000000000100000   1   
#  271   00000100100000000000   2   
#  272   00000000000000000010   1   
#  273   00000000000000000000   0   
#  274   00000000000000000000   0   
#  275   00000100000100101000   4   
#  276   00000000000000000001   1   
#  277   00000000000000000000   0   
#  278   00100000000010000000   2   
#  279   01000100000000000000   2   
#  280   00000000000010000000   1   
#  281   00000001000100000000   2   
#  282   00000000000000000000   0   
#  283   00000000000000000000   0   
#  284   00000000000000000000   0   
#  285   00000100001000001000   3   
#  286   00000000000000000000   0   
#  287   00100000000000000000   1   
#  288   00100000000000000100   2   
#  289   00000011000010000000   3   
#  290   00000000000000000000   0   
#  291   00000000000000000000   0   
#  292   00000000000000000100   1   
#  293   01000000000000000010   2   
#  294   00000000000001000000   1   
#  295   01000100000000000000   2   
#  296   00000000100000000000   1   
#  297   00000000000000001000   1   
#  298   00000000000000000000   0   
#  299   00000010000000001001   3   
#  300   00000001000000000100   2   
#  301   00000000000000000000   0   
#  302   00000000000000000000   0   
#  303   00001000000010000000   2   
#  304   00001000000000001000   2   
#  305   00000000000000000010   1   
#  306   00000000100000000000   1   
#  307   00000000000000000000   0   
#  308   00000010000000000100   2   
#  309   00000000000000001100   2   
#  310   00000000000000000000   0   
#  311   00000000000000000010   1   
#  312   00000000010000000010   2   
#  313   00000000000000100000   1   
#  314   00000000000000000000   0   
#  315   00000000100000000000   1   
#  316   00010000000000000000   1   
#  317   10000000000000000100   2   
#  318   00000000100000000000   1   
#  319   00000000000000000000   0   
#  320   00000000100100001000   3   
#  321   00000000000000000000   0   
#  322   00000000000010000000   1   
#  323   00000000000000100000   1   
#  324   00001000010000000000   2   
#  325   00000000000000000010   1   
#  326   00000000000000000100   1   
#  327   00001000001000000000   2   
#  328   00000000000000000000   0   
#  329   00000000000000010000   1   
#  330   00000000000000100000   1   
#  331   00000000000000000000   0   
#  332   00000000000000000000   0   
#  333   00000000000010000000   1   
#  334   10000000000000000000   1   
#  335   00000000000001000000   1   
#  336   00000100000000000000   1   
#  337   00000000000100100000   2   
#  338   00000000000000000000   0   
#  339   00000000100000000000   1   
#  340   00000000000000001010   2   
#  341   00000000000000000010   1   
#  342   00000000000100000000   1   
#  343   00000000100000000000   1   
#  344   00000000010000000000   1   
#  345   00000000100000000010   2   
#  346   00000001000000000000   1   
#  347   00000000001000000000   1   
#  348   00000000000000000000   0   
#  349   00000000000000000000   0   
#  350   10000000010000000000   2   
#  351   00000000000000000000   0   
#  352   00000000000100100001   3   
#  353   00001000000000000100   2   
#  354   00000100000001000010   3   
#  355   00000100000000000000   1   
#  356   00000100000000000000   1   
#  357   01000000001000000000   2   
#  358   00000100000100000000   2   
#  359   00000000000000000000   0   
#  360   00000000000000000000   0   
#  361   00000000010000000000   1   
#  362   00010000000000000000   1   
#  363   00000000000000000000   0   
#  364   10000000000000000000   1   
#  365   00000000000000000000   0   
#  366   00000000000000000000   0   
#  367   00000000000000000000   0   
#  368   00000000000000000000   0   
#  369   00000011000000000000   2   
#  370   00000000001000000000   1   
#  371   00000000100000000000   1   
#  372   00000000000000000000   0   
#  373   00000000000000000000   0   
#  374   00000000001000000000   1   
#  375   00100000000000000001   2   
#  376   01010000000000000000   2   
#  377   00000000000000100000   1   
#  378   00000000100000000110   3   
#  379   00000001000000000000   1   
#  380   00000000000000000000   0   
#  381   00000000000000000000   0   
#  382   00000000000000000000   0   
#  383   00000000000000100000   1   
#  384   00000010110000000100   4   
#  385   01000000000010000000   2   
#  386   00100100000000000000   2   
#  387   10000000010001000000   3   
#  388   00000000000000000000   0   
#  389   10000000000000000000   1   
#  390   00100000000000000000   1   
#  391   10000000000000000100   2   
#  392   00000000000010000100   2   
#  393   00000010000000000000   1   
#  394   00000000000000010000   1   
#  395   00000000000000000100   1   
#  396   00000001000000000000   1   
#  397   00000000000000000000   0   
#  398   00000000011000000000   2   
#  399   01000001000000000000   2   
#  400   00000000000010000000   1   
#  401   00000000000000000000   0   
#  402   00100000000000000000   1   
#  403   00000000000101000000   2   
#  404   00000000000000000000   0   
#  405   01000000000000000000   1   
#  406   01000010000000000000   2   
#  407   00000000000000000000   0   
#  408   00000000000000100000   1   
#  409   00000000000000000001   1   
#  410   10010000000000000000   2   
#  411   00000000010100101001   5   
#  412   00000000000000000000   0   
#  413   00000000000000100000   1   
#  414   00000000000001000100   2   
#  415   00000000000100000000   1   
#  416   00000000000000000000   0   
#  417   00000000000000100000   1   
#  418   01000000000100000000   2   
#  419   00000000000000000000   0   
#  420   00000000000000000000   0   
#  421   00000010000000000100   2   
#  422   00000000000000000000   0   
#  423   00000000000100000000   1   
#  424   00000100000000000000   1   
#  425   00000000000000000000   0   
#  426   00000000000000000000   0   
#  427   00100000000000000000   1   
#  428   01000000000000000000   1   
#  429   00010001000000000010   3   
#  430   00000000000100010000   2   
#  431   00000000000000000000   0   
#  432   00001000000000000000   1   
#  433   00000000100100000000   2   
#  434   00000000000000000000   0   
#  435   00000000000000000000   0   
#  436   00000000000000000000   0   
#  437   00000000000000000000   0   
#  438   00000000000000000000   0   
#  439   00000000000000000000   0   
#  440   00000010000000000000   1   
#  441   00100000000000000000   1   
#  442   00000000000000000000   0   
#  443   00000000000000010000   1   
#  444   00000000000000000001   1   
#  445   00000000000000000000   0   
#  446   00000110001000000000   3   
#  447   00000001000000000100   2   
#  448   00000000010001000000   2   
#  449   00000000000000000000   0   
#  450   00000000000000000001   1   
#  451   00000000000000100000   1   
#  452   00000000010000000000   1   
#  453   00001000000000000000   1   
#  454   00000000000000000000   0   
#  455   00000000000000000000   0   
#  456   00000100000000000000   1   
#  457   00001000000000000100   2   
#  458   00000000000000000000   0   
#  459   00000000000001000001   2   
#  460   00000000000000000000   0   
#  461   00000000000000000000   0   
#  462   00000000000000000000   0   
#  463   01000000000000000010   2   
#  464   00000000000001000000   1   
#  465   00000000000010100000   2   
#  466   00000000000000000000   0   
#  467   00000000000000000000   0   
#  468   00000000000000010000   1   
#  469   01000000001000000010   3   
#  470   00000000000000000000   0   
#  471   00101000000000000000   2   
#  472   00000000000000110001   3   
#  473   00000000000000000000   0   
#  474   00000100000000000000   1   
#  475   00000000100000000000   1   
#  476   00001000000010000000   2   
#  477   00000000000000000000   0   
#  478   00000000010000000000   1   
#  479   00000100000100000000   2   
#  480   01000000000000000100   2   
#  481   00000000000000000000   0   
#  482   10000000000000001000   2   
#  483   00000000000000000001   1   
#  484   00000000000000010000   1   
#  485   00000010001000000000   2   
#  486   00000000000000000000   0   
#  487   00000000000000000000   0   
#  488   00001000000000000100   2   
#  489   00000000000000000000   0   
#  490   00000000010000000000   1   
#  491   00000000000000000000   0   
#  492   00000010000000000000   1   
#  493   00000100000000000000   1   
#  494   00000000000000000000   0   
#  495   00010000000000000000   1   
#  496   00000000000001000000   1   
#  497   00000010000000000000   1   
#  498   00000000000000100010   2   
#  499   00000000000000000000   0   
#  500   00000000010000000000   1   
#  501   00000000000000001010   2   
#  502   00000100000011000000   3   
#  503   00000000000000000000   0   
#  504   00000000000000000000   0   
#  505   00000000000000000000   0   
#  506   00000000000000000000   0   
#  507   00000000000000000000   0   
#  508   00000000000000000000   0   
#  509   00000000000000001000   1   
#  510   00000000000000000000   0   
#  511   00000000000000110000   2   
#  512   00000001000010000010   3   
#  513   00100000000000100000   2   
#  514   00000001000000000000   1   
#  515   00000010000000001000   2   
#  516   00010000000000000000   1   
#  517   01000000000000000000   1   
#  518   10000000000000000000   1   
#  519   00000000000000000010   1   
#  520   00000000000000000000   0   
#  521   00000000000000000010   1   
#  522   00000000000000000000   0   
#  523   00000000000000000000   0   
#  524   00000000000000000000   0   
#  525   00000000000000000100   1   
#  526   00000000000000000000   0   
#  527   00000000000000010000   1   
#  528   00000000000000001000   1   
#  529   00000000001000000000   1   
#  530   00000010000000000000   1   
#  531   00000000000000000000   0   
#  532   00000000110000000000   2   
#  533   00000000010000000000   1   
#  534   00000000000000000000   0   
#  535   00000000000000000000   0   
#  536   00000000000000000001   1   
#  537   00000000000000000000   0   
#  538   00100000000010000000   2   
#  539   00000000000000000000   0   
#  540   00000000000000000000   0   
#  541   00000000000000000000   0   
#  542   10000000000000100000   2   
#  543   00010000000000101000   3   
#  544   00000000000010000000   1   
#  545   00000000000000000000   0   
#  546   00000000000000000000   0   
#  547   00000000000000000100   1   
#  548   00001001000000000000   2   
#  549   00000000000000000010   1   
#  550   00000000000000000010   1   
#  551   00010000000000000000   1   
#  552   00000000010000001000   2   
#  553   00000000000000000000   0   
#  554   00000000000000000000   0   
#  555   00000000000000001000   1   
#  556   00000000000000000000   0   
#  557   00000000000010100000   2   
#  558   00000000000001000000   1   
#  559   00000000000000000000   0   
#  560   00000100000000000000   1   
#  561   00000000000000000000   0   
#  562   00100000000000000001   2   
#  563   00010000000000000000   1   
#  564   00010000000000000000   1   
#  565   00000000000000000000   0   
#  566   00000100000000100000   2   
#  567   00000000000000000000   0   
#  568   00000001000000000000   1   
#  569   00000000000000000001   1   
#  570   00000000000000000000   0   
#  571   00000000000000000000   0   
#  572   00001001000000000000   2   
#  573   00000000000000000000   0   
#  574   00000000001010001000   3   
#  575   00000000000000000000   0   
#  576   00000000000010000000   1   
#  577   00000010000000000000   1   
#  578   00001000000000000000   1   
#  579   00000000000001000000   1   
#  580   00000000010100000000   2   
#  581   00001000000010000000   2   
#  582   00000000000000000000   0   
#  583   00100001000000001000   3   
#  584   00001000000011000000   3   
#  585   10000000000001000000   2   
#  586   01000000000000000000   1   
#  587   00100000000000000000   1   
#  588   00000000000100000000   1   
#  589   00000000001000000000   1   
#  590   10000000000000100000   2   
#  591   00000000000000000000   0   
#  592   00100000000000000000   1   
#  593   00010000000000000000   1   
#  594   00000000000100000000   1   
#  595   00000000000000000010   1   
#  596   00000000000000000010   1   
#  597   00100000100000000000   2   
#  598   00000000010000000000   1   
#  599   00000000000000000000   0   
#  600   00000000001000000000   1   
#  601   00000000001000000010   2   
#  602   00000000000000000010   1   
#  603   00000000000000000000   0   
#  604   00000000001000000000   1   
#  605   00000000000000000000   0   
#  606   00000000010000000000   1   
#  607   10000000000000000000   1   
#  608   00000001000000000000   1   
#  609   00001000101000000000   3   
#  610   10000000000000000000   1   
#  611   00000000100000000000   1   
#  612   00000010000000000000   1   
#  613   00001001000000000000   2   
#  614   10000000000000000000   1   
#  615   00100000000000000100   2   
#  616   00000000000000000000   0   
#  617   01000001000000011000   4   
#  618   00000000000000000000   0   
#  619   00000000000000000000   0   
#  620   00001000000000000000   1   
#  621   00000000000000000000   0   
#  622   01000000000000000000   1   
#  623   00000100000000000001   2   
#  624   00000000000000000000   0   
#  625   00000000000000000000   0   
#  626   10000000000000000000   1   
#  627   10000000000000000000   1   
#  628   00010010000000000000   2   
#  629   01100000000000000001   3   
#  630   00000000000000000000   0   
#  631   00000000000101000000   2   
#  632   10000000010101000000   4   
#  633   00000000000000000000   0   
